Sr No,Symbol,Security Name,Market Cap (INR)              
419,ICRA,ICRA LIMITED             ,30173313504.00
420,JSWHL,JSW HOLDINGS LIMITED     ,30141586668.75
421,SADBHIN,SADBHAV INFRA PROJ LTD.  ,30132867228.80
422,GREAVESCOT,GREAVES COTTON LTD.      ,29951963406.75
423,DEEPAKNTR,DEEPAK NITRITE LTD       ,29917813543.35
424,THYROCARE,THYROCARE TECH LTD       ,29486161087.05
425,REDINGTON,REDINGTON (INDIA) LTD.   ,29372675079.00
426,CARERATING,CARE RATINGS LIMITED     ,29182805527.70
427,INDOSTAR,INDOSTAR CAPITAL FIN LTD ,29174694364.50
428,KNRCON,KNR CONSTRU LTD.         ,28932009475.00
429,MASFIN,MAS FINANCIAL SERV LTD   ,28883423521.20
430,PCJEWELLER,PC JEWELLER LTD          ,28809303051.00
431,ORIENTELEC,ORIENT ELECTRIC LIMITED  ,28772354071.20
432,FDC,FDC LIMITED              ,28724187934.80
433,BRIGADE,BRIGADE ENTER. LTD       ,28654000947.45
434,SHARDACROP,SHARDA CROPCHEM LTD.     ,28496143345.75
435,KEI,KEI INDUSTRIES LTD.      ,28460512942.80
436,HFCL,HIMACHAL FUT COM LTD     ,28428800023.20
437,DENABANK,DENA BANK                ,28238079125.00
438,FMGOETZE,FEDERAL-MOGUL GOETZE (IND,28138731354.00
439,JINDALSAW,JINDAL SAW LIMITED       ,28042436060.90
440,SUPRAJIT,SUPRAJIT ENGINEERING LTD ,27771679514.15
441,WELCORP,WELSPUN CORP LIMITED     ,27596776641.45
442,HATHWAY,HATHWAY CABLE & DATACOM  ,27561424000.00
443,MHRIL,MAHINDRA HOLIDAYS LTD    ,27485368747.20
444,COX&KINGS,COX & KINGS LIMITED      ,27473496884.00
445,CAPLIPOINT,CAPLIN POINT LAB LTD.    ,27455411025.00
446,TECHNOE,TECHNO ELEC & ENG CO. LTD,27145190160.00
447,GMDCLTD,GUJARAT MINERAL DEV CORP ,27093600000.00
448,JETAIRWAYS,JET AIRWAYS (INDIA) LTD. ,27041857023.15
449,RUPA,RUPA & COMPANY LTD       ,26986659436.00
450,IBULISL,INDIABULLS INTEGR SER LTD,26748541637.05
451,INOXLEISUR,INOX LEISURE LIMITED     ,26696730050.70
452,JBCHEPHARM,J B CHEMICALS AND PHARMA ,26508396070.00
453,MAGMA,MAGMA FINCORP LIMITED    ,26378105041.20
454,APLAPOLLO,APL APOLLO TUBES LTD     ,26347202491.50
455,ENIL,ENTERTAIN NET. IND. LTD. ,26197276563.25
456,INDIACEM,THE INDIA CEMENTS LIMITED,26089040434.25
457,ALLCARGO,ALLCARGO LOGISTICS LTD   ,25933162558.20
458,DIXON,DIXON TECHNO (INDIA) LTD ,25691535188.05
459,INFIBEAM,INFIBEAM AVENUES LIMITED ,25573770852.00
460,FSC,FUTURE SUPP CHAIN SOL LTD,25359604277.80
461,ORIENTREF,ORIENT REFRACTORIES LTD  ,25091071920.00
462,REPCOHOME,REPCO HOME FINANCE LTD   ,25062081617.20
463,SUZLON,SUZLON ENERGY LIMITED    ,25002938368.70
464,KIRLOSENG,KIRLOSKAR OIL ENG LTD    ,24967583101.65
465,NAVNETEDUL,NAVNEET EDUCATION LTD    ,24815537500.00
466,RESPONIND,RESPONSIVE INDUSTRIES LTD,24729461655.00
467,VRLLOG,VRL LOGISTICS LIMITED    ,24708945882.50
468,SUVEN,SUVEN LIFE SCIENCES LTD  ,24641887740.80
469,GARFIBRES,GARWARE TECH FIBRES LTD  ,24624976221.00
470,GHCL,GHCL LIMITED             ,24536479985.80
471,MIDHANI,MISHRA DHATU NIGAM LTD   ,24419769000.00
472,SHK,S H KELKAR AND CO. LTD.  ,24419222248.85
473,KSB,KSB LIMITED              ,24388115898.60
474,ITDC,INDIA TOUR. DEV. CO. LTD.,24307047960.00
475,DIAMONDYD,PRATAAP SNACKS LIMITED   ,24268029001.00
476,JKPAPER,JK PAPER LIMITED         ,24107444871.25
477,NOCIL,NOCIL LIMITED            ,24051841811.00
478,PRAJIND,PRAJ INDUSTRIES LTD      ,23933627650.40
479,GAEL,GUJARAT AMBUJA EXPORTS LT,23919674919.00
480,SOUTHBANK,THE SOUTH INDIAN BANK LTD,23797320285.65
481,APARINDS,APAR INDUSTRIES LTD.     ,23791600432.30
482,SWANENERGY,SWAN ENERGY LIMITED      ,23753993250.00
483,INTELLECT,INTELLECT DESIGN ARENA   ,23752709978.40
484,LAOPALA,LA OPALA RG LIMITED      ,23609700000.00
485,CGPOWER,CG POWER AND IND SOL LTD ,23565654939.20
486,TCIEXP,TCI EXPRESS LIMITED      ,23559118843.75
487,VESUVIUS,VESUVIUS INDIA LTD       ,23374995336.00
488,AMBER,AMBER ENTERPRISES (I) LTD,23344338969.00
489,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD,23277865521.30
490,GRANULES,GRANULES INDIA LIMITED   ,23225514788.70
491,BOMDYEING,BOMBAY DYEING & MFG. CO L,23193869270.00
492,PTC,PTC INDIA LIMITED        ,23133050286.15
493,CGCL,CAPRI GLOBAL CAPITAL LTD ,23082767299.00
494,IFCI,IFCI LTD                 ,23065506051.20
495,MAXINDIA,MAX INDIA LIMITED        ,22976867217.60
496,HERITGFOOD,HERITAGE FOODS LTD       ,22964690100.00
497,J&KBANK,J & K BANK LTD.          ,22831194072.00
498,ARVIND,ARVIND LIMITED           ,22797094632.35
499,CDSL,CENTRAL DEPO SER (I) LTD ,22781000000.00
500,KPIT,KPIT TECHNOLOGIES LTD    ,22574106210.60
501,SHRIPISTON,SHRIRAM PIST. & RING LTD ,22367080780.80
502,JAMNAAUTO,JAMNA AUTO IND LTD       ,22313977560.00
503,SUDARSCHEM,SUDARSHAN CHEMICAL INDS L,22218485887.50
504,SCHNEIDER,SCHNEIDER ELECTRIC INFRA ,22021481623.50
505,TIMETECHNO,TIME TECHNOPLAST LTD.    ,21857083387.50
506,VAIBHAVGBL,VAIBHAV GLOBAL LIMITED   ,21703241067.60
507,BALMLAWRIE,BALMER LAWRIE & CO LTD   ,21455283297.60
508,TCI,TRANSPORT CORPN OF INDIA ,21292863556.25
509,TVTODAY,TV TODAY NETWORK LTD     ,20988780257.00
510,TASTYBITE,TASTY BITE EATABLES LTD  ,20949465500.00
511,GABRIEL,GABRIEL INDIA LTD        ,20778095921.00
512,TAKE,TAKE SOLUTIONS LTD       ,20681173200.00
513,DHANUKA,DHANUKA AGRITECH LTD     ,20659520487.80
514,JKTYRE,JK TYRE & INDUSTRIES LTD ,20594663984.00
515,GREENLAM,GREENLAM INDUSTRIES LTD. ,20410924673.10
516,SEQUENT,SEQUENT SCIENTIFIC LTD.  ,20376345902.00
517,NILKAMAL,NILKAMAL LIMITED         ,20291649495.00
518,KOLTEPATIL,KOLTE PATIL DEV. LTD.    ,20071997157.75
519,ITDCEM,ITD CEMENTATION INDIA LTD,20021842915.20
520,MAHLIFE,MAHINDRA LIFESPACE DEVLTD,19906568157.60
521,HIMATSEIDE,HIMATSINGKA SEIDE LTD    ,19819426308.00
522,RENUKA,SHREE RENUKA SUGARS LTD  ,19647397743.00
523,BOROSIL,BOROSIL GLASS WORKS LTD  ,19542600000.00
524,JTEKTINDIA,JTEKT INDIA LIMITED      ,19446888261.20
525,NEWGEN,NEWGEN SOFTWARE TECH LTD ,19361763784.65
526,WHEELS,WHEELS INDIA LTD         ,19322636846.10
527,VINDHYATEL,VINDHYA TELELINKS LTD    ,19098850810.80
528,POLYMED,POLY MEDICURE LIMITED    ,19030538016.00
529,NBVENTURES,NAVA BHARAT VENTURES LIMI,19000431284.80
530,SCI,SHIPPING CORP OF INDIA LT,18981309657.50
531,IPAPPM,INTERNATIONALPAPERAPPMLTD,18970308603.00
532,HIKAL,HIKAL LIMITED            ,18889674900.00
533,AHLUCONT,AHLUWALIA CONT IND LTD   ,18756516800.00
534,HCC,HINDUSTAN CONSTRUCTION CO,18686041036.00
535,SUPPETRO,SUPREME PETROCHEMICALS LT,18605577502.40
536,ADVENZYMES,ADVANCED ENZYME TECH LTD ,18589529362.50
537,BANARISUG,BANNARI AMMAN SUGARS LTD ,18506089260.00
538,INGERRAND,INGERSOLL-RAND INDIA LTD ,18505161600.00
539,JSLHISAR,JINDAL STAINLESS (H) LTD ,18402905430.00
540,BHARATRAS,BHARAT RASAYAN LTD       ,18241115442.00
541,UFLEX,UFLEX LIMITED            ,18208126194.90
542,NRBBEARING,NRB BEARING LIMITED      ,18202064280.00
543,WSTCSTPAPR,WEST COAST PAPER MILLS LT,18031351884.00
544,JAICORPLTD,JAI CORP LIMITED         ,18005545469.00
545,TVSSRICHAK,TVS SRICHAKRA LIMITED    ,17914051327.50
546,HSIL,HSIL LIMITED             ,17904202221.75
547,TIDEWATER,TIDE WATER OIL LTD       ,17710799040.00
548,HCG,HEALTHCARE GLOB. ENT. LTD,17531533695.65
549,PARAGMILK,PARAG MILK FOODS LTD.    ,17474804410.50
550,SWARAJENG,SWARAJ ENGINES LTD       ,17438305846.50
551,RAMCOIND,RAMCO INDUSTRIES LIMITED ,17319612541.00
552,OLECTRA,OLECTRA GREENTECH LIMITED,17303008304.05
553,NFL,NATIONAL FERT. LTD       ,17268359680.00
554,LAKSHVILAS,LAKSHMI VILAS BANK LTD   ,17243172924.50
555,RHFL,RELIANCE HOME FINANCE LTD,17177498962.35
556,AUTOAXLES,AUTOMOTIVE AXLES LIMITED ,17004749868.75
557,INDOCO,INDOCO REMEDIES LTD.     ,16992525462.00
558,PURVA,PURAVANKARA LIMITED      ,16991775001.90
559,MAYURUNIQ,MAYUR UNIQUOTERS LTD     ,16900395660.00
560,TATACOFFEE,TATA COFFEE LIMITED      ,16837348855.50
561,SANDHAR,SANDHAR TECHNOLOGIES LTD ,16751074036.40
562,MUTHOOTCAP,MUTHOOT CAP SERV LTD     ,16635857252.85
563,PFOCUS,PRIME FOCUS LIMITED      ,16633609862.00
564,RADIOCITY,MUSIC BROADCAST LIMITED  ,16631468078.50
565,AIONJSW,MONNET ISPAT & ENERGY LTD,16504595820.10
566,FEL,FUTURE ENTERPRISES LTD   ,16465375965.00
567,DOLLAR,DOLLAR INDUSTRIES LIMITED,16430659964.00
568,IGARASHI,IGARASHI MOTORS INDIA LTD,16400075323.55
569,WABAG,VA TECH WABAG LTD        ,16322357901.00
570,BLISSGVS,BLISS GVS PHARMA LTD     ,16111510166.40
571,GMMPFAUDLR,GMM PFAUDLER LIMITED     ,16009086000.00
572,INDIANHUME,INDIAN HUME PIPE CO. LTD.,15980299024.50
573,WONDERLA,WONDERLA HOLIDAYS LTD.   ,15935495700.00
574,PSB,PUNJAB & SIND BANK       ,15902280794.60
575,RKFORGE,RAMKRISHNA FORGINGS LTD  ,15874207335.00
576,GREENPLY,GREENPLY INDUSTRIES LTD  ,15831196694.50
577,SIYSIL,SIYARAM SILK MILLS LTD   ,15816308496.00
578,JPASSOCIAT,JAIPRAKASH ASSOCIATES LTD,15810970337.50
579,JMCPROJECT,JMC PROJECTS (I) LTD.    ,15640366585.50
580,EVEREADY,EVEREADY INDS. IND.  LTD.,15562342366.00
581,POLYPLEX,POLYPLEX CORPORATION LTD ,15525324840.00
582,TATAMETALI,TATA METALIKS LTD        ,15478784800.00
583,PILANIINVS,PILANI INV & IND COR LTD ,15416526375.00
584,ALKYLAMINE,ALKYL AMINES CHEM. LTD   ,15329928227.20
585,TNPL,TAMILNADU NEWSPRT & PAPER,15212489880.00
586,INOXWIND,INOX WIND LIMITED        ,15090439368.00
587,EXCELINDUS,EXCEL INDUSTRIES LTD     ,14951817636.50
588,DALBHARAT,ODISHA CEMENT LIMITED    ,14873043688.45
589,SREINFRA,SREI INFRASTRUCTURE FINAN,14841046823.50
590,KKCL,KEWAL KIRAN CLOTHING LTD ,14817159481.40
591,ORIENTCEM,ORIENT CEMENT LTD.       ,14781281034.00
592,TINPLATE,THE TINPLATE CO. (I) LTD ,14679636229.50
593,TEJASNET,TEJAS NETWORKS LIMITED   ,14668562722.80
594,WELENT,WELSPUN ENTERPRISES LTD. ,14549160252.00
595,RANEHOLDIN,RANE HOLDINGS LIMITED    ,14493403915.90
596,SHALBY,SHALBY LIMITED           ,14478709668.50
597,SOTL,SAVITA OIL TECHNOLO. LTD ,14415176539.50
598,CAPACITE,CAPACITE INFRAPROJECT LTD,14406575663.40
599,SOMANYCERA,SOMANY CERAMICS LIMITED  ,14372982327.90
600,SUBROS,SUBROS LIMITED           ,14361270840.00
601,SANGHIIND,SANGHI INDUSTRIES LTD    ,14307000000.00
602,UNICHEMLAB,UNICHEM LABORATORIES LTD ,14291318912.50
603,HINDOILEXP,HINDUSTAN OIL EXPLORATION,14281546420.00
604,JINDWORLD,JINDAL WORLDWIDE LTD     ,14236948400.00
605,HIL,HIL LIMITED              ,14214603624.65
606,LUMAXIND,LUMAX INDUSTRIES LTD     ,14212291732.80
607,PRAKASH,PRAKASH INDUSTRIES LTD   ,14031492697.00
608,DEN,DEN NETWORKS LTD         ,13997972917.50
609,MEGH,MEGHMANI ORGANICS LTD.   ,13910987341.70
610,NIITLTD,NIIT LIMITED             ,13889005733.05
611,AARTIDRUGS,AARTI DRUGS LTD.         ,13888677795.00
612,SPENCERS,SPENCER'S RETAIL LIMITED ,13854862169.20
613,VSTTILLERS,VST TILLERS TRACTORS LTD ,13796462263.20
614,ACCELYA,ACCELYA KALE SOLUTION LTD,13767983146.40
615,FACT,FACT LTD                 ,13766847367.80
616,PSPPROJECT,PSP PROJECTS LIMITED     ,13743000000.00
617,ESABINDIA,ESAB INDIA LTD           ,13725186283.00
618,SUNDARMHLD,SUNDARAM FINANCE HOLD LTD,13705120102.00
619,ATFL,AGRO TECH FOODS LIMITED  ,13654098619.20
620,BALAMINES,BALAJI AMINES LIMITED    ,13603559850.00
621,SSWL,STEEL STRIPS WHEELS LTD. ,13502640995.50
622,FAIRCHEM,FAIRCHEM SPECIALITY LTD  ,13494211787.70
623,CENTRUM,CENTRUM CAPITAL LIMITED  ,13375452591.00
624,QUICKHEAL,QUICK HEAL TECH LTD      ,13307508067.50
625,HGINFRA,H.G.INFRA ENGINEERING LTD,13281872421.80
626,JSL,JINDAL STAINLESS LIMITED ,13130673484.00
627,HGS,HINDUJA GLOBAL SOLS. LTD.,13120965302.90
628,MAJESCO,MAJESCO LIMITED          ,13062772669.00
629,TIIL,TECHNOCRAFT IND LTD      ,13045417677.10
630,BODALCHEM,BODAL CHEMICALS LTD      ,13031431787.25
631,SESHAPAPER,SESHASAYEE PAPER & BOARDS,13014110689.00
632,PAPERPROD,HUHTAMAKI PPL LIMITED    ,12963339971.10
633,SPTL,SINTEX PLASTICS TECH LTD ,12935942226.00
634,GICHSGFIN,GIC HOUSING FINANCE LTD  ,12859634560.80
635,GTLINFRA,GTL INFRA.LTD            ,12817533364.65
636,KIRIINDUS,KIRI INDUSTRIES LIMITED  ,12752286464.35
637,LGBBROSLTD,LG BALAKRISHNAN & BROS   ,12734333550.40
638,SATIN,SATIN CREDIT NET LTD     ,12717450613.35
639,TEXRAIL,TEXMACO RAIL & ENG. LTD. ,12509813051.70
640,STERTOOLS,STERLING TOOLS LIMITED   ,12392328584.00
641,DAAWAT,LT FOODS LIMITED         ,12362000747.00
642,POWERMECH,POWER MECH PROJECTS LTD. ,12323942541.00
643,PAISALO,PAISALO DIGITAL LIMITED  ,12289680000.00
644,DPSCLTD,DPSC LIMITED             ,12172370500.00
645,INSECTICID,INSECTICIDES (I) LTD     ,12168164895.00
646,SURYAROSNI,SURYA ROSHNI LTD         ,12127760304.60
647,BANCOINDIA,BANCO PRODUCTS (I) LTD   ,12111683377.50
648,MMFL,MM FORGINGS LTD          ,12102990080.00
649,FILATEX,FILATEX INDIA LTD        ,12016875000.00
650,SAGCEM,SAGAR CEMENTS LIMITED    ,12004380000.00
651,HDIL,HOUSING DEV & INFRA LTD  ,11917604632.50
652,GOCLCORP,GOCL CORPORATION LIMITED ,11870132730.50
653,OCCL,ORIENTAL CARBN & CHEM LTD,11832234450.40
654,ASHIANA,ASHIANA HOUSING LTD      ,11703962520.65
655,TATASPONGE,TATA SPONGE IRON LIMITED ,11570790000.00
656,TAJGVK,TAJ GVK HOTELS & RESORTS ,11502589257.75
657,DREDGECORP,DREDGING CORP OF INDIA   ,11452000000.00
658,IOLCP,IOL CHEM AND PHARMA LTD  ,11392855255.40
659,BEPL,BHANSALI ENG. POLYMERS LT,11372831622.00
660,CESCVENT,CESC VENTURES LIMITED    ,11334952917.95
661,KCP,KCP LTD                  ,11280601500.00
662,JBMA,JBM AUTO LIMITED         ,11206486490.80
663,GDL,GATEWAY DISTRIPARKS LTD. ,11188116242.10
664,GIPCL,GUJ IND POW CO. LTD      ,11177462793.20
665,HBLPOWER,HBL POWER SYSTEMS LTD.   ,11168518272.35
666,HONDAPOWER,HONDA SIEL POWER PROD LTD,11157885253.55
667,KIRLOSBROS,KIRLOSKAR BROTHERS LTD   ,11101367854.80
668,APEX,APEX FROZEN FOODS LIMITED,11067187500.00
669,DHAMPURSUG,DHAMPUR SUGAR MILLS LTD. ,11056853114.50
670,INEOSSTYRO,INEOS STYROLUTION IND LTD,11049048187.50
671,JINDALPOLY,JINDAL POLY FILMS LIMITED,10834947896.85
672,SASKEN,SASKEN TECHNOLOGIES LTD  ,10813592048.00
673,TRIVENI,TRIVENI ENGG. & INDS. LTD,10795002853.50
674,JPPOWER,JAIPRAKASH POWER VEN. LTD,10792805551.20
675,TFCILTD,TOURISM FINANCE CORP. OF ,10787793370.20
676,BLS,BLS INTL SERVS LTD       ,10695780000.00
677,RTNPOWER,RATTANINDIA POWER LIMITED,10630560070.80
678,MCLEODRUSS,MCLEOD RUSSEL INDIA LTD. ,10622679081.75
679,ALEMBICLTD,ALEMBIC LIMITED          ,10502376765.20
680,HESTERBIO,HESTER BIOSCIENCES LTD   ,10499598126.25
681,SAREGAMA,SAREGAMA INDIA LIMITED   ,10487904360.40
682,MARKSANS,MARKSANS PHARMA LIMITED  ,10457964983.90
683,EIHAHOTELS,EIH ASSOCIATED HOTELS LTD,10417059459.30
684,DFMFOODS,DFM FOODS LIMITED        ,10367423822.00
685,TTKHLTCARE,TTK HEALTHCARE LIMITED   ,10366012288.80
686,GVKPIL,GVK POW. & INFRA LTD.    ,10343828120.00
687,LUMAXTECH,LUMAX AUTO TECH LTD      ,10342931733.75
688,DEEPAKFERT,DEEPAK FERTILIZERS & PETR,10324388578.15
689,NUCLEUS,NUCLEUS SOFTWARE EXPORTS ,10318169237.20
690,ACE,ACTION CONST EQUIP LTD   ,10312691700.00
691,MAITHANALL,MAITHAN ALLOYS LTD       ,10242898867.50
692,KESORAMIND,KESORAM INDUSTRIES LTD   ,10152413624.80
693,SHEMAROO,SHEMAROO ENTER. LTD.     ,10045196422.45
694,VOLTAMP,VOLTAMP TRANSFORMERS LTD ,10037194752.00
695,ASTEC,ASTEC LIFESCIENCES LTD   ,10006234986.75
696,USHAMART,USHA MARTIN LTD.         ,9965056206.00
697,SHANTIGEAR,SHANTHI GEARS LTD        ,9952990895.40
698,ANANTRAJ,ANANT RAJ LIMITED        ,9856217589.00
699,CIGNITITEC,CIGNITI TECHNOLOGIES LTD ,9844362393.60
700,MASTEK,MASTEK LTD               ,9826686271.35
701,KOKUYOCMLN,KOKUYO CAMLIN LIMITED    ,9684332469.30
702,OPTIEMUS,OPTIEMUS INFRACOM LTD    ,9675550035.25
703,MATRIMONY,MATRIMONY.COM LIMITED    ,9674750381.40
704,GRSE,GARDEN REACH SHIP&ENG LTD,9673916400.00
705,SOLARA,SOLARA ACTIVE PHA SCI LTD,9590887582.90
706,PFS,PTC INDIA FIN SERV LTD   ,9570021691.50
707,APCOTEXIND,APCOTEX INDUSTRIES LIMITE,9524956051.20
708,SHRIRAMEPC,SHRIRAM EPC LTD.         ,9472407925.50
709,HTMEDIA,HT MEDIA LIMITED         ,9344844807.10
710,INDNIPPON,INDIA NIPPON ELECT  LTD  ,9292880979.20
711,NEULANDLAB,NEULAND LAB LTD.         ,9276414652.50
712,IGPL,I G PETROCHEMICALS LTD   ,9223057575.00
713,GMBREW,G M BREWERIES LTD        ,9211879656.00
714,ICIL,INDO COUNT INDUSTRIES LTD,9198824622.00
715,BALAJITELE,BALAJI TELEFILMS LIMITED.,9187700746.55
716,GTPL,GTPL HATHWAY LIMITED     ,9154491293.20
717,BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LT,9125157533.10
718,GALLISPAT,GALLANTT ISPAT LTD       ,9106133220.00
719,ZUARI,ZUARI AGRO CHEMICALS LTD ,9105558299.00
720,PANACEABIO,PANACEA BIOTEC LTD       ,9083485631.80
721,V2RETAIL,V2 RETAIL LIMITED        ,9053466582.60
722,MOREPENLAB,MOREPEN LAB. LTD         ,9011481582.65
723,KAYA,KAYA LIMITED             ,9010956767.25
724,ZEELEARN,ZEE LEARN LIMITED        ,8983468873.75
725,CLNINDIA,CLARIANT CHEMICALS (INDIA,8951121264.40
726,GEOJITFSL,GEOJIT FINANCIAL SER L   ,8935254487.50
727,AMRUTANJAN,AMRUTAJAN HEALTH LTD     ,8922649807.50
728,SIMPLEXINF,SIMPLEX INFRASTRUCTURES L,8893870986.00
729,SHANKARA,SHANKARA BLDG PRODUCT LTD,8886102881.40
730,FOSECOIND,FOSECO INDIA LTD         ,8828002275.70
731,MIRZAINT,MIRZA INTERNATIONAL LIMIT,8818429800.00
732,KSL,KALYANI STEELS LIMITED   ,8763351795.00
733,RNAVAL,RELIANCE NAVAL & ENGG LTD,8740456466.55
734,MTNL,MAHANAGAR TELEPHONE NIGAM,8694000000.00
735,DYNAMATECH,DYNAMATIC TECHNOLOGIES   ,8690630559.35
736,KINGFA,KINGFA SCI & TEC IND LTD.,8689255767.50
737,UNIPLY,UNIPLY INDUSTRIES LIMITED,8679904798.50
738,SMLISUZU,SML ISUZU LIMITED        ,8625101016.00
739,ELECTCAST,ELECTROSTEEL CASTINGS LTD,8616496388.75
740,MPSLTD,MPS LIMITED              ,8609397428.70
741,HOTELEELA,HOTEL LEELA VENTURES LTD ,8607031605.90
742,MANPASAND,MANPASAND BEVERAGES LTD. ,8601849059.40
743,SUNFLAG,SUNFLAG IRON AND STEEL CO,8578445724.80
744,SARDAEN,SARDA ENERGY & MIN LTD   ,8558088389.00
745,HMVL,HINDUSTAN MEDIA VENT LTD ,8521016697.00
746,MANINFRA,MAN INFRA LTD            ,8489259261.00
747,SRIPIPES,SRIKALAHASTHI PIPES LTD  ,8429062463.50
748,PUNJABCHEM,PUNJAB CHEM & CROP PROT L,8384882103.00
749,ANDHRSUGAR,ANDHRA SUGARS LTD        ,8358467501.30
750,RICOAUTO,RICO AUTO INDUSTRIES LTD ,8353848750.00
751,HINDNATGLS,HIND NATL GLASS & IND LTD,8328481545.00
752,BFINVEST,BF INVESTMENT LIMITED    ,8279344634.40
753,GENUSPOWER,GENUS POWER INFRASTRU LTD,8247592647.20
754,SORILINFRA,SORIL INFRA RESOURCES LTD,8220660000.00
755,KIRLOSIND,KIRLOSKAR INDUSTRIES LTD ,8219802276.35
756,HMT,HMT LTD -                ,8192987950.00
757,GPIL,GODAWARI POW & ISP LTD   ,8190665615.15
758,INDIAGLYCO,INDIA GLYCOLS LTD        ,8128941825.00
759,UNIVCABLES,UNIVERSAL CABLES LTD     ,8083829535.60
760,SAKUMA,SAKUMA EXPORTS LIMITED   ,8082532397.00
761,MONTECARLO,MONTE CARLO FASHIONS LTD.,8074548379.20
762,KHADIM,KHADIM INDIA LIMITED     ,8025951759.75
763,IFGLEXPOR,IFGL REFRACTORIES LIMITED,8020548885.60
764,JKIL,JKUMAR INFR.LTD.         ,8016760360.70
765,GATI,GATI LIMITED             ,8010409710.60
766,TIRUMALCHM,THIRUMALAI CHEMICALS LTD ,8006750984.00
767,SICAL,SICAL LOGISTICS LIMITED  ,7985090022.80
768,TWL,TITAGARH WAGONS LTD.     ,7919397786.00
769,THEINVEST,THE INVEST TRUST OF IND L,7763266149.05
770,SCHAND,S CHAND AND COMPANY LTD  ,7692814375.65
771,HINDUJAVEN,HINDUJA VENTURES LIMITED ,7686730346.85
772,RAMKY,RAMKY INFRA LTD          ,7641624877.60
773,SHARDAMOTR,SHARDA MOTOR INDS LTD    ,7633893318.80
774,BFUTILITIE,BF UTILITIES LIMITED     ,7561776321.00
775,ALICON,ALICON CASTALLOY LIMITED ,7499530500.00
776,DALMIASUG,DALMIA BHARAT SUG IN LTD ,7442368910.85
777,ORIENTPPR,ORIENT PAPER AND INDS LTD,7405285187.80
778,ELECON,ELECON ENG. CO. LTD      ,7382757697.00
779,TEXINFRA,TEXMACO INFRA & HOLDG LTD,7377999561.00
780,SEAMECLTD,SEAMEC LIMITED           ,7375792500.00
781,NATHBIOGEN,NATH BIO-GENES (I) LTD   ,7360249200.00
782,EVERESTIND,EVEREST INDUSTRIES LTD   ,7353670896.00
783,EROSMEDIA,EROS INTL MEDIA LTD      ,7349984171.40
784,SHAKTIPUMP,SHAKTI PUMPS (I) LTD     ,7349305376.60
785,RUSHIL,RUSHIL DECOR LIMITED     ,7240949453.40
786,MUKANDLTD,MUKAND LTD.              ,7225839497.10
787,ARSHIYA,ARSHIYA LIMITED          ,7198802328.60
788,MEP,MEP INFRA. DEVELOPERS LTD,7172740594.10
789,IMPAL,IND MOTOR PART & ACC LTD ,7155616000.00
790,GNA,GNA AXLES LIMITED        ,7138318770.00
791,ORIENTHOT,ORIENT HOTELS LTD        ,7126107282.00
792,STCINDIA,THE STATE TRADING CORPN  ,7053000000.00
793,RAMCOSYS,RAMCO SYSTEMS LTD.       ,7038299692.60
794,TTML,TATA TELESERV(MAHARASTRA),7037739817.20
795,SANWARIA,SANWARIA CONSUMER LIMITED,7029755000.00
796,SKIPPER,SKIPPER LIMITED          ,6996974947.80
797,BRNL,BHARAT ROAD NETWORK LTD  ,6967850000.00
798,ZEEMEDIA,ZEE MEDIA CORPORATION LTD,6967684674.00
799,NAVKARCORP,NAVKAR CORPORATION LTD.  ,6946460203.15
800,PDSMFL,PDS MULTINATIONAL FAS LTD,6890660834.20
801,UFO,UFO MOVIEZ INDIA LTD.    ,6859476301.95
802,KITEX,KITEX GARMENTS LTD       ,6852825000.00
803,MUNJALSHOW,MUNJAL SHOWA LTD         ,6804766200.00
804,TATASTLBSL,TATA STEEL BSL LIMITED   ,6795465930.00
805,ASTRAMICRO,ASTRA MICROWAVE LTD      ,6790355320.00
806,APTECHT,APTECH LIMITED           ,6787889234.00
807,KICL,KALYANI INVEST CO LTD    ,6745925627.10
808,ATULAUTO,ATUL AUTO LIMITED        ,6704744760.00
809,MAXVIL,MAX VENTURES AND INDS LTD,6698109819.00
810,REPRO,REPRO INDIA LIMITED      ,6664434674.70
811,PANAMAPET,PANAMA PETROCHEM LTD     ,6627073660.90
812,SUTLEJTEX,SUTLEJ TEXT & INDUS LTD  ,6610484817.00
813,HCL-INSYS,HCL INFOSYSTEMS LTD      ,6584198560.00
814,VHL,VARDHMAN HOLDINGS LIMITED,6553550387.20
815,AMBIKCO,AMBIKA COTTON MILL LTD.  ,6545965000.00
816,GUFICBIO,GUFIC BIOSCIENCES LTD.   ,6510479500.00
817,UNIENTER,UNIPHOS ENTERPRISES LTD  ,6464286664.55
818,FIEMIND,FIEM INDUSTRIES LIMITED  ,6453580632.00
819,AJMERA,AJMERA REALTY & INF I LTD,6392600231.25
820,NELCAST,NELCAST LIMITED          ,6364137780.00
821,BBL,BHARAT BIJLEE LTD        ,6362526248.00
822,GANECOS,GANESHA ECOSPHERE LIMITED,6275951637.50
823,DBREALTY,D B REALTY LIMITED       ,6215261880.10
824,CAMLINFINE,CAMLIN FINE SCIENCES LTD ,6202141895.40
825,SPAL,S. P. APPARELS LIMITED   ,6164939370.00
826,WENDT,WENDT (INDIA) LIMITED    ,6094000000.00
